Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	tree_length
720	-527.3597	-558.7747	31.41506	0.034415	0.0341057	0.0754475	0.0194306	0.164784	0.00383671	0.134558	0.0392531	0.0222376	0.046064	0.0717298	0.0691293	0.0887645	0.145198	0.0831002	0.263079	0.0415798	0.0804234	0.0220544	0.00624388	0.0213862	0.177332	0.0774139	0.11219	0.113444	0.00920003	0.0405187	0.0286328	0.0396329	0.132515	0.373187	0.735274	1.36004	2.67962	7.54631	1.461365	0.0166644	0.0165146	0.0365331	0.00940866	0.0797913	0.00185781	0.0651554	0.0190071	0.0107679	0.022305	0.0347329	0.0334737	0.0429814	0.0703077	0.0402386	0.127388	0.0201337	0.0389425	0.0106791	0.0030234	0.0103556	0.0858672	0.0374852	0.0543244	0.0549315	0.00445482	0.0196199	0.0138645	0.019191	2.065184
756	-533.3144	-564.191	30.87655	0.0288913	0.0667651	0.179847	0.0428222	0.0346753	0.00562923	0.0692709	0.0364545	0.00632395	0.0128011	0.0236823	0.171914	0.237059	0.0328007	0.041695	0.384424	0.0478224	0.202106	0.0163033	0.0715331	0.0232385	0.135872	0.156576	0.0128123	0.0327665	0.158425	0.0489047	0.0245017	0.0320122	0.112707	0.344853	0.717382	1.39396	2.89979	8.87256	1.578433	0.0123576	0.0285574	0.0769258	0.0183163	0.0148316	0.00240778	0.0296291	0.0155926	0.00270494	0.0054754	0.0101296	0.0735326	0.101397	0.0140298	0.0178342	0.164429	0.020455	0.0864464	0.0069734	0.0305968	0.00993976	0.0581163	0.0669723	0.00548019	0.0140152	0.067763	0.020918	0.0104801	0.0136925	2.337931
792	-534.0803	-564.522	30.44173	0.0389103	0.100862	0.00112095	0.0388617	0.175125	0.00593625	0.134463	0.102123	0.0425888	0.0233229	0.204286	0.213249	0.169786	0.0788742	0.019932	0.316697	0.0752796	0.112851	0.026418	0.00586599	0.0383224	0.058059	0.238838	0.0504889	0.0243194	0.217099	0.0918674	0.0064688	0.138329	0.154391	0.402058	0.752567	1.32879	2.4872	6.47707	1.350887	0.0141474	0.0366726	0.000407568	0.0141297	0.0636738	0.00215837	0.0488895	0.0371308	0.0154849	0.00847999	0.0742766	0.0775353	0.0617325	0.0286779	0.00724708	0.115148	0.027371	0.0410316	0.00960535	0.00213282	0.0139337	0.0211097	0.0868395	0.0183573	0.00884231	0.0789351	0.0334021	0.00235199	0.0502951	2.750345
828	-528.4145	-558.8313	30.41679	0.00295199	0.181514	0.099798	0.023194	0.00883557	0.0320672	0.279954	0.00560701	0.0123228	0.0986249	0.0860953	0.0328605	0.0358038	0.101138	0.0503302	0.265799	0.176844	0.0649202	0.0911104	0.0420476	0.0963805	0.13562	0.099988	0.112763	0.155838	0.0556018	0.0768602	0.0263347	0.210104	0.122026	0.358476	0.726106	1.37721	2.78958	8.19497	1.52099	0.00110923	0.0682048	0.0374996	0.00871528	0.00332001	0.0120494	0.105194	0.00210686	0.00463037	0.0370588	0.0323508	0.0123475	0.0134535	0.038003	0.0189118	0.0998752	0.0664501	0.0243941	0.0342352	0.0157996	0.0362155	0.0509597	0.037571	0.0423713	0.0585569	0.0208927	0.0288806	0.00989542	0.0789477	2.661307
864	-528.868	-560.8036	31.93566	0.00204065	0.047447	0.025942	0.0197	0.0207442	0.0118892	0.0749158	0.0155464	0.00592348	0.056946	0.0925843	0.0196743	0.028992	0.0705984	0.0298281	0.13283	0.0487945	0.0692678	0.0168394	0.0126805	0.0547897	0.0497076	0.0474049	0.0221232	0.0145407	0.0744917	0.0449301	0.0326758	0.00342234	0.0484589	0.228483	0.63092	1.58499	4.3767	20.636	2.188757	0.0017787	0.0413564	0.022612	0.0171712	0.0180813	0.010363	0.0652991	0.0135507	0.00516311	0.0496361	0.0806996	0.0171488	0.0252704	0.061536	0.0259992	0.115779	0.0425309	0.0603761	0.0146778	0.0110528	0.0477566	0.0433269	0.0413198	0.0192834	0.0126742	0.0649295	0.0391626	0.0284813	0.00298303	1.147271
900	-529.6879	-561.7574	32.06954	0.0399914	0.0213689	0.0370789	0.0161884	0.0256136	0.00864474	0.0627172	0.00211102	0.0184406	0.0669215	0.118189	0.101216	0.0718069	0.111711	0.0420521	0.109461	0.0503124	0.0597325	0.0500281	0.00696065	0.0307796	0.0405588	0.0263586	0.0558009	0.0295532	0.0334773	0.116552	0.0389709	0.0312387	0.0929587	0.31393	0.69666	1.43542	3.18543	10.7575	1.717723	0.028087	0.015008	0.0260416	0.0113696	0.0179891	0.00607144	0.044048	0.00148263	0.0129514	0.0470008	0.0830073	0.0710869	0.050432	0.0784579	0.0295344	0.0768778	0.0353358	0.0419518	0.0351361	0.00488866	0.0216174	0.0284855	0.0185124	0.0391905	0.0207561	0.0235121	0.0818575	0.0273704	0.0219398	1.423836
936	-531.3696	-560.5815	29.21191	0.030501	0.0132557	0.227253	0.0562536	0.402774	0.0367409	0.223454	0.0813556	0.113044	0.108593	0.264852	0.133512	0.271762	0.130892	0.0246157	0.303084	0.0671298	0.120767	0.113786	0.041294	0.0607274	0.0572035	0.148703	0.125847	0.198979	0.0331704	0.0538183	0.107357	0.103521	0.231792	0.490182	0.800566	1.24912	2.04006	4.31421	1.057065	0.00834674	0.00362749	0.0621886	0.015394	0.110221	0.0100543	0.061149	0.0222633	0.030935	0.029717	0.0724779	0.0365361	0.0743689	0.0358191	0.00673619	0.0829401	0.0183704	0.0330485	0.031138	0.0113003	0.0166183	0.015654	0.0406932	0.0344385	0.0544514	0.00907723	0.0147276	0.0293787	0.028329	3.654246
972	-534.1326	-564.1623	30.02972	0.0693299	0.141257	0.012861	0.0244346	0.16782	0.0223486	0.273704	0.00169762	0.111231	0.0426618	0.0655452	0.132559	0.164644	0.173693	0.0738166	0.156757	0.158717	0.130869	0.133551	0.0408327	0.046836	0.0241899	0.29958	0.142335	0.144716	0.0462012	0.0687852	0.203709	0.158961	0.265762	0.523991	0.817399	1.22339	1.90843	3.76277	0.9581782	0.0214402	0.0436837	0.00397723	0.00755637	0.0518981	0.00691126	0.0846427	0.000524987	0.0343981	0.0131931	0.0202698	0.0409937	0.0509158	0.0537144	0.0228277	0.0484768	0.0490831	0.0404709	0.0413005	0.0126274	0.014484	0.0074807	0.0926448	0.044017	0.0447533	0.0142876	0.0212717	0.0629967	0.0491584	3.233645
1008	-531.5716	-560.8472	29.27558	0.068975	0.252671	0.148167	0.0226902	0.155337	0.031273	0.234115	0.131961	0.00826272	0.013602	0.0896482	0.158523	0.125185	0.163047	0.0981559	0.402431	0.122252	0.123338	0.0988827	0.0100217	0.267508	0.320777	0.0302895	0.0328035	0.216703	0.132167	0.0114192	0.0659104	0.0781041	0.230078	0.48841	0.799662	1.25053	2.04746	4.34635	1.062432	0.0190843	0.0699102	0.0409955	0.00627803	0.0429793	0.00865276	0.0647762	0.0365117	0.00228617	0.00376348	0.0248043	0.0438609	0.0346367	0.0451126	0.0271583	0.111347	0.0338254	0.0341257	0.0273594	0.00277284	0.0740154	0.0887542	0.00838063	0.00907623	0.0599585	0.0365686	0.00315951	0.0182364	0.0216102	3.614221
1044	-534.0881	-564.6861	30.59799	0.0203497	0.118232	0.108358	0.0183323	0.0329405	0.0236439	0.089313	0.000735992	0.00716815	0.0647602	0.0155753	0.0242691	0.0301274	0.151855	0.0738296	0.215101	0.0231293	0.0955929	0.0369165	0.217267	0.0185544	0.137422	0.0313974	0.0819235	0.0257042	0.0584916	0.0326246	0.179127	0.0629641	0.0370341	0.200403	0.605629	1.65118	4.98996	27.0022	2.383175	0.0101967	0.0592433	0.0542954	0.00918588	0.0165057	0.0118474	0.0447526	0.000368787	0.00359179	0.0324498	0.00780439	0.0121606	0.0150961	0.0760908	0.0369942	0.107782	0.0115895	0.0478993	0.018498	0.108867	0.00929717	0.0688588	0.0157325	0.0410499	0.0128797	0.0293087	0.0163474	0.0897564	0.0315498	1.995707
